signal_id | symbol | scanner | strategy | triggered_at | received_at | status | rejection_reason | trade_id | trigger_price
sig_9f5eb50f545b45ce81dd96a4325720ca | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T13:57:00+05:30 | 2026-07-28T13:57:15.710107+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 235.35
sig_8abb37d6122c4cb39707d7def589e431 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T14:03:00+05:30 | 2026-07-28T14:03:13.266978+05:30 | REJECTED_SCORE_54 | REJECTED_SCORE_54 |  | 231.85
sig_17f68c3f9daa42f7b1909d01106bc740 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T14:03:00+05:30 | 2026-07-28T14:03:16.236307+05:30 | REJECTED_SCORE_54 | REJECTED_SCORE_54 |  | 231.85
sig_c93a8edebdaa49f4bb0c508339b0945f | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T14:09:00+05:30 | 2026-07-28T14:09:12.989121+05:30 | REJECTED_SCORE_55 | REJECTED_SCORE_55 |  | 230.42
sig_94ca8543eb0847f2a5ad885d2b900534 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T14:09:00+05:30 | 2026-07-28T14:09:16.400960+05:30 | REJECTED_SCORE_55 | REJECTED_SCORE_55 |  | 230.42
sig_7395e1d394674b87b75ee4655afd1349 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T14:15:00+05:30 | 2026-07-28T14:15:24.167850+05:30 | REJECTED_SCORE_55 | REJECTED_SCORE_55 |  | 230.6
sig_b7c390867c994c1cb65d9535a60fde63 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T14:16:00+05:30 | 2026-07-28T14:16:14.867280+05:30 | REJECTED_SCORE_54 | REJECTED_SCORE_54 |  | 231.72
sig_d9057b9d56374819a5ae1f633933fb93 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T14:21:00+05:30 | 2026-07-28T14:21:13.700613+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 233.97
sig_eea2a21c5134473097b0a6dea4ed6a50 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T14:22:00+05:30 | 2026-07-28T14:22:14.886919+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 234.72
sig_8d1eda26c6fd4e5cac3c2c2a620030cb | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T14:27:00+05:30 | 2026-07-28T14:27:12.217095+05:30 | REJECTED_SCORE_53 | REJECTED_SCORE_53 |  | 233.02
sig_5495f008691d4ea584a13e8b45355bfe | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T14:28:00+05:30 | 2026-07-28T14:28:14.322301+05:30 | REJECTED_SCORE_53 | REJECTED_SCORE_53 |  | 233.75
sig_c9bef01e1b49451899bd1d55a8b51c2a | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T14:33:00+05:30 | 2026-07-28T14:33:13.149717+05:30 | REJECTED_SCORE_53 | REJECTED_SCORE_53 |  | 233.03
sig_1eb0640a7b3e409ba183259f9b70b66a | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T14:33:00+05:30 | 2026-07-28T14:33:15.201435+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 233.03
sig_71cfed4b64ce496f96e321543c190e57 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T14:38:00+05:30 | 2026-07-28T14:38:15.553169+05:30 | REJECTED_SCORE_55 | REJECTED_SCORE_55 |  | 230.5
sig_466e78e83f534186a57af6f68c0986a3 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T14:39:00+05:30 | 2026-07-28T14:39:13.503716+05:30 | REJECTED_SCORE_56 | REJECTED_SCORE_56 |  | 231.0
sig_e949a6e0159f41d7b9bb95b5f5bfdb7d | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T14:44:00+05:30 | 2026-07-28T14:44:14.246337+05:30 | REJECTED_SCORE_56 | REJECTED_SCORE_56 |  | 228.85
sig_075591be40bb43ffaeb7ce315af37509 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T14:45:00+05:30 | 2026-07-28T14:45:23.329953+05:30 | REJECTED_SCORE_56 | REJECTED_SCORE_56 |  | 229.3
sig_fd3f62df2a904e5b9f8115ffb5c1df9d | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T14:49:00+05:30 | 2026-07-28T14:49:14.987694+05:30 | REJECTED_SCORE_56 | REJECTED_SCORE_56 |  | 228.96
sig_e3d4d3af597047d09b5859a1f647f6cf | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T14:51:00+05:30 | 2026-07-28T14:51:12.085865+05:30 | REJECTED_SCORE_56 | REJECTED_SCORE_56 |  | 228.73
sig_ab140ef407f44fc2a100a302aa70b799 | INDOCO | vwap_rejection_short | vwap_rejection_short | 2026-07-28T14:54:00+05:30 | 2026-07-28T14:54:15.294986+05:30 | REJECTED_SCORE_56 | REJECTED_SCORE_56 |  | 228.97
sig_b5901494067448e590c54dd6de145115 | INDOCO | first_pullback_short | first_pullback_short | 2026-07-28T14:56:00+05:30 | 2026-07-28T14:56:12.444325+05:30 | PROCESSED |  | trd_71bc02fe358945fcb8dc5270e4f479dd | 228.41
sig_5914103546d94e7d9c9435d157573d5a | INDOCO | first_pullback_long | first_pullback_long | 2026-08-26T13:45:00+05:30 | 2026-08-26T13:45:22.517617+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 237.0
sig_5c1ebb2abd7f41dcb4b3405516cebbec | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-08-26T13:45:00+05:30 | 2026-08-26T13:45:26.099060+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 237.0
sig_b7fb5a8fd2f74d95984977ed746edc2d | INDOCO | first_pullback_long | first_pullback_long | 2026-08-26T13:50:00+05:30 | 2026-08-26T13:50:25.775511+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 236.78
sig_3cc6c3b17a57466f9b2487f901867999 | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-08-26T13:51:00+05:30 | 2026-08-26T13:51:15.032905+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 237.0
sig_c81e2e6e99a3470584c8f5d15a457b59 | INDOCO | first_pullback_long | first_pullback_long | 2026-08-26T13:56:00+05:30 | 2026-08-26T13:56:13.754729+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 236.37
sig_c813649fbb494cf1973a575207a9a5bb | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-08-26T13:57:00+05:30 | 2026-08-26T13:57:16.801593+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 236.66
sig_5fe40d8a59eb47daa9818c7696ed6923 | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-26T13:59:00+05:30 | 2026-08-26T13:59:15.572718+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 415.55
sig_0931d49f096947e99b9387e7c2f8ea22 | INDOCO | first_pullback_long | first_pullback_long | 2026-08-26T14:01:00+05:30 | 2026-08-26T14:01:17.601529+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 236.21
sig_2493aa2b0f0d41d789b673b8552dd535 | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:02:00+05:30 | 2026-08-26T14:02:30.393640+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 236.35
sig_9417202c756b4274b0402d18edc44960 | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:04:00+05:30 | 2026-08-26T14:04:42.886880+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 415.85
sig_ef0e7e545079495e9d721889ab3c8125 | INDOCO | first_pullback_long | first_pullback_long | 2026-08-26T14:07:00+05:30 | 2026-08-26T14:07:44.953625+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 235.72
sig_a4ff7ddb87474c1aa35a826c7c74da56 | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:07:00+05:30 | 2026-08-26T14:07:56.568833+05:30 | REJECTED_SCORE_48 | REJECTED_SCORE_48 |  | 235.72
sig_b36032c132c34001899f34652b8bb485 | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:09:00+05:30 | 2026-08-26T14:09:50.530230+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 415.85
sig_308bf87b1bcd42f481c4cf0482a060b4 | INDOCO | first_pullback_long | first_pullback_long | 2026-08-26T14:13:00+05:30 | 2026-08-26T14:13:13.976148+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 236.67
sig_fa845d0633b6499a9f6519cac05c842e | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:13:00+05:30 | 2026-08-26T14:13:55.405987+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 236.67
sig_c215e2a37fa4443c89f5226df9a93783 | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:16:00+05:30 | 2026-08-26T14:16:23.954055+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 415.75
sig_ea4c3d505f2c4ef19f95b99ea6f4bc12 | INDOCO | first_pullback_long | first_pullback_long | 2026-08-26T14:18:00+05:30 | 2026-08-26T14:18:28.958351+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 236.19
sig_e4c74f2a85984b47b287068a14600bce | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:19:00+05:30 | 2026-08-26T14:19:01.458880+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 236.19
sig_b31142ec3efe4dbba7957763650ac18a | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:22:00+05:30 | 2026-08-26T14:22:23.044472+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 415.4
sig_df46d5ddcaf54e46add1d1ec2c8a6b9b | INDOCO | first_pullback_long | first_pullback_long | 2026-08-26T14:23:00+05:30 | 2026-08-26T14:23:59.682235+05:30 | REJECTED_SCORE_48 | REJECTED_SCORE_48 |  | 235.55
sig_ddb182ccd2fc4482a2148de206e91675 | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:24:00+05:30 | 2026-08-26T14:24:54.369027+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 235.76
sig_9bb2eacc9f0343aeaf8d88603b974393 | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:28:00+05:30 | 2026-08-26T14:28:06.114883+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 415.75
sig_5c5a5c25f33648b68bb7ce007dd99f2d | INDOCO | first_pullback_long | first_pullback_long | 2026-08-26T14:29:00+05:30 | 2026-08-26T14:29:38.215560+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 235.79
sig_ab398315d1b4406aaa5ffd886b7f3bec | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:29:00+05:30 | 2026-08-26T14:29:59.429098+05:30 | REJECTED_SCORE_48 | REJECTED_SCORE_48 |  | 235.79
sig_4627a5b8279f470cb66bac66aeb2dff1 | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:33:00+05:30 | 2026-08-26T14:33:56.640679+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 415.85
sig_0669b9bc18a34f6e9f291027239307cf | INDOCO | first_pullback_long | first_pullback_long | 2026-08-26T14:35:00+05:30 | 2026-08-26T14:35:16.940320+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 235.7
sig_f9dbae0870b54ff19a68c6b3b84db790 | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:35:00+05:30 | 2026-08-26T14:35:41.361685+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 235.7
sig_bdc63b0ae20645158f704c73cdb421bb | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:39:00+05:30 | 2026-08-26T14:39:15.020011+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 415.75
sig_f724ad8116e642b0a4c230b2b941e9e4 | INDOCO | first_pullback_long | first_pullback_long | 2026-08-26T14:40:00+05:30 | 2026-08-26T14:40:20.944341+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 236.17
sig_61b80b5c37504671bf769d86900d1490 | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:41:00+05:30 | 2026-08-26T14:41:14.983646+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 237.11
sig_7f6ff3649e4a40fc8244e7944899bd07 | INDOCO | first_pullback_long | first_pullback_long | 2026-08-26T14:45:00+05:30 | 2026-08-26T14:45:24.215731+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 238.39
sig_a3845f8d0a654cb99b1b815bdf528f40 | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:45:00+05:30 | 2026-08-26T14:45:24.904959+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 415.55
sig_ff3070b768cc4ff2839d08efc4937b40 | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:47:00+05:30 | 2026-08-26T14:47:17.097707+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 237.49
sig_2bc1ed2cf8f94608a222805a26b60682 | INDOCO | first_pullback_long | first_pullback_long | 2026-08-26T14:51:00+05:30 | 2026-08-26T14:51:13.382679+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 237.17
sig_15f8b9bff1454b16a83482b51f1b682e | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:51:00+05:30 | 2026-08-26T14:51:15.555487+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 416.1
sig_d78211c8db844a40b07a434371165290 | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:53:00+05:30 | 2026-08-26T14:53:15.390661+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 237.25
sig_210097d543c943eca303ffec2e1d8793 | INDOCO | first_pullback_long | first_pullback_long | 2026-08-26T14:57:00+05:30 | 2026-08-26T14:57:13.045947+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 237.01
sig_59ccbc72f411439d8cffaed6dab25f6c | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:57:00+05:30 | 2026-08-26T14:57:14.551593+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 416.7
sig_477261b4813142699741281782d77052 | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-08-26T14:59:00+05:30 | 2026-08-26T14:59:14.440745+05:30 | REJECTED_SCORE_57 | REJECTED_SCORE_57 |  | 237.0
sig_00218bce1b174643b27f0fa1656d413b | KOTAKBANK | gap_go_long | gap_go_long | 2026-08-27T11:43:00+05:30 | 2026-08-27T11:43:12.436439+05:30 | REJECTED_SCORE_59 | REJECTED_SCORE_59 |  | 424.95
sig_23e33665a7fd41858e01488b59fcac1f | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-27T11:43:00+05:30 | 2026-08-27T11:43:14.304180+05:30 | REJECTED_SCORE_59 | REJECTED_SCORE_59 |  | 424.95
sig_51a3ec2c00464791a36cacca1a38e018 | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-27T11:48:00+05:30 | 2026-08-27T11:48:14.374044+05:30 | REJECTED_SCORE_59 | REJECTED_SCORE_59 |  | 425.2
sig_f22b51cf1f904435b42e4f746add6e01 | KOTAKBANK | gap_go_long | gap_go_long | 2026-08-27T11:49:00+05:30 | 2026-08-27T11:49:12.512671+05:30 | REJECTED_SCORE_59 | REJECTED_SCORE_59 |  | 425.0
sig_1eb01d93ae2c4340869b830ab4ab5edb | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-27T11:54:00+05:30 | 2026-08-27T11:54:13.447119+05:30 | REJECTED_SCORE_59 | REJECTED_SCORE_59 |  | 424.5
sig_48ba9917db2a488abb1036408466dae4 | KOTAKBANK | gap_go_long | gap_go_long | 2026-08-27T11:55:00+05:30 | 2026-08-27T11:55:20.058004+05:30 | REJECTED_SCORE_59 | REJECTED_SCORE_59 |  | 424.35
sig_ec22605584384c3d8268f701b4268397 | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-27T11:59:00+05:30 | 2026-08-27T11:59:14.476621+05:30 | REJECTED_SCORE_59 | REJECTED_SCORE_59 |  | 425.25
sig_6f6b6736036841df948e8c1ffeee10b2 | KOTAKBANK | gap_go_long | gap_go_long | 2026-08-27T12:01:00+05:30 | 2026-08-27T12:01:12.657409+05:30 | REJECTED_SCORE_59 | REJECTED_SCORE_59 |  | 425.15
sig_7020d7f8821147529e47fc40ad5ba4fd | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-27T12:04:00+05:30 | 2026-08-27T12:04:14.769108+05:30 | REJECTED_SCORE_59 | REJECTED_SCORE_59 |  | 424.95
sig_aa30c30a28264d448f3b39e730362222 | KOTAKBANK | gap_go_long | gap_go_long | 2026-08-27T12:06:00+05:30 | 2026-08-27T12:06:13.838485+05:30 | REJECTED_SCORE_59 | REJECTED_SCORE_59 |  | 425.45
sig_2c3d12286f9748b498b188b6a3262958 | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-27T12:09:00+05:30 | 2026-08-27T12:09:16.446285+05:30 | REJECTED_SCORE_59 | REJECTED_SCORE_59 |  | 425.05
sig_63e069cb9cc14c84984ef9a9a1d76340 | INDOCO | vwap_bounce_long | vwap_bounce_long | 2026-08-27T12:09:00+05:30 | 2026-08-27T12:09:16.446285+05:30 | REJECTED_SCORE_59 | REJECTED_SCORE_59 |  | 244.0
sig_e54c38f43ed74331aff943169361b8da | KOTAKBANK | gap_go_long | gap_go_long | 2026-08-27T12:12:00+05:30 | 2026-08-27T12:12:11.654820+05:30 | REJECTED_SCORE_59 | REJECTED_SCORE_59 |  | 425.15
sig_3492164c576d44deb1e3488f30a5f3bf | KOTAKBANK | vwap_bounce_long | vwap_bounce_long | 2026-08-27T12:15:00+05:30 | 2026-08-27T12:15:24.760707+05:30 | REJECTED_SCORE_52 | REJECTED_SCORE_52 |  | 425.25
